13:09:48.380 WARN  c.m.s.d.service.DataLoadingService - Error al cargar el archivo C:\Users\z3eisla\Desktop\SyncHPRT_Service\pendings\Note4_72_94.txt
13:09:48.876 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando PLU] Se han procesado 37 elementos para la balanza -> 10.107.127.109
13:09:48.877 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":94,"accionBalanza":"Carga de PLU\u0027s","cantidadCambios":37,"ipBalanza":"10.107.127.109","fechaHora":"26-05-25 13:09:48","resultado":"Success"}, para balanza ip: 10.107.127.109
13:09:48.914 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.109.
13:09:49.009 INFO  c.m.s.d.service.ScaleQueueService - Procesando balanza con carga forzada: 10.107.127.145
13:09:49.083 INFO  c.m.s.a.c.DeleteProductsController - Comenzando proceso de eliminación de productos balanza -> 10.107.127.145
13:09:52.133 INFO  c.m.sync.utils.ProgressEventFactory - [Descarga de PLU] Se han procesado 129 elementos para la balanza -> 10.107.127.145
13:09:52.136 INFO  c.m.s.d.s.ScaleDataReaderService - Se obtuvo una lista de 129 productos cargados en la balanza -> 10.107.127.145
13:09:52.137 INFO  c.m.s.d.s.ProductComparisonService - Existen 129 productos para balanza -> 10.107.127.145
13:09:52.138 ERROR c.m.s.a.c.DeleteProductsController - No se puedo generar el archivo de productos a eliminar: No hay productos que eliminar.
13:09:52.138 ERROR c.m.s.a.c.DeleteProductsController - No existe el archivo: C:\Users\z3eisla\Desktop\SyncHPRT_Service\pendings\pluDelete_72_93_.txt
13:09:54.472 INFO  c.m.s.d.s.DataTransformationService - Nota 1 creada.
13:09:54.481 INFO  c.m.s.d.s.DataTransformationService - Nota 2 creada.
13:09:54.520 INFO  c.m.s.d.s.DataTransformationService - Nota 3 creada.
13:09:57.538 INFO  c.m.s.d.s.DataTransformationService - C:\Users\z3eisla\Desktop\SyncHPRT_Service\pendings\plu_72_93.txt creado.
13:09:59.392 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando Nota 1] Se han procesado 129 elementos para la balanza -> 10.107.127.145
13:09:59.532 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando Nota 2] Se han procesado 9 elementos para la balanza -> 10.107.127.145
13:09:59.674 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando Nota 3] Se han procesado 9 elementos para la balanza -> 10.107.127.145
13:09:59.676 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":93,"accionBalanza":"Carga de Nota 1","cantidadCambios":129,"ipBalanza":"10.107.127.145","fechaHora":"26-05-25 13:09:57","resultado":"Success"}, para balanza ip: 10.107.127.145
13:09:59.731 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.145.
13:09:59.732 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":93,"accionBalanza":"Carga de Nota 2","cantidadCambios":9,"ipBalanza":"10.107.127.145","fechaHora":"26-05-25 13:09:57","resultado":"Success"}, para balanza ip: 10.107.127.145
13:09:59.801 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.145.
13:09:59.803 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":93,"accionBalanza":"Carga de Nota 3","cantidadCambios":9,"ipBalanza":"10.107.127.145","fechaHora":"26-05-25 13:09:57","resultado":"Success"}, para balanza ip: 10.107.127.145
13:09:59.853 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.145.
13:09:59.853 WARN  c.m.s.d.service.DataLoadingService - Error al cargar el archivo C:\Users\z3eisla\Desktop\SyncHPRT_Service\pendings\Note4_72_93.txt
13:10:01.157 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando PLU] Se han procesado 129 elementos para la balanza -> 10.107.127.145
13:10:01.172 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":93,"accionBalanza":"Carga de PLU\u0027s","cantidadCambios":129,"ipBalanza":"10.107.127.145","fechaHora":"26-05-25 13:09:59","resultado":"Success"}, para balanza ip: 10.107.127.145
13:10:01.203 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.145.
13:10:01.438 INFO  c.m.s.d.service.ScaleQueueService - Procesando balanza con carga forzada: 10.107.127.120
13:10:01.641 INFO  c.m.s.a.c.DeleteProductsController - Comenzando proceso de eliminación de productos balanza -> 10.107.127.120
13:10:07.202 INFO  c.m.sync.utils.ProgressEventFactory - [Descarga de PLU] Se han procesado 56 elementos para la balanza -> 10.107.127.120
13:10:07.202 INFO  c.m.s.d.s.ScaleDataReaderService - Se obtuvo una lista de 56 productos cargados en la balanza -> 10.107.127.120
13:10:07.202 INFO  c.m.s.d.s.ProductComparisonService - Existen 56 productos para balanza -> 10.107.127.120
13:10:07.202 ERROR c.m.s.a.c.DeleteProductsController - No se puedo generar el archivo de productos a eliminar: No hay productos que eliminar.
13:10:07.202 ERROR c.m.s.a.c.DeleteProductsController - No existe el archivo: C:\Users\z3eisla\Desktop\SyncHPRT_Service\pendings\pluDelete_72_80_.txt
13:10:10.504 INFO  c.m.s.d.s.DataTransformationService - Nota 1 creada.
13:10:10.512 INFO  c.m.s.d.s.DataTransformationService - Nota 2 creada.
13:10:10.529 INFO  c.m.s.d.s.DataTransformationService - Nota 3 creada.
13:10:15.964 INFO  c.m.s.d.s.DataTransformationService - C:\Users\z3eisla\Desktop\SyncHPRT_Service\pendings\plu_72_80.txt creado.
13:10:16.955 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando Nota 1] Se han procesado 56 elementos para la balanza -> 10.107.127.120
13:10:17.061 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando Nota 2] Se han procesado 6 elementos para la balanza -> 10.107.127.120
13:10:17.201 INFO  c.m.sync.utils.ProgressEventFactory - [Cargando Nota 3] Se han procesado 8 elementos para la balanza -> 10.107.127.120
13:10:17.203 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":80,"accionBalanza":"Carga de Nota 1","cantidadCambios":56,"ipBalanza":"10.107.127.120","fechaHora":"26-05-25 13:10:15","resultado":"Success"}, para balanza ip: 10.107.127.120
13:10:17.283 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.120.
13:10:17.285 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":80,"accionBalanza":"Carga de Nota 2","cantidadCambios":6,"ipBalanza":"10.107.127.120","fechaHora":"26-05-25 13:10:15","resultado":"Success"}, para balanza ip: 10.107.127.120
13:10:17.367 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.120.
13:10:17.368 WARN  c.m.s.infraestructure.api.LogService - JSON creado: {"id":0,"store":72,"departamento":80,"accionBalanza":"Carga de Nota 3","cantidadCambios":8,"ipBalanza":"10.107.127.120","fechaHora":"26-05-25 13:10:15","resultado":"Success"}, para balanza ip: 10.107.127.120
13:10:17.440 INFO  c.m.s.infraestructure.api.LogService - Se ha modificado el log correctamente para balanza 10.107.127.120.
